"Name","CPU"
"wlanext","0,125"
"ThunderboltService","0,109375"
"RtkAudUService64","0,109375"
"svchost","0,109375"
"msedgewebview2","0,09375"
"svchost","0,09375"
"svchost","0,09375"
"IntelCpHeciSvc","0,09375"
"RuntimeBroker","0,078125"
"chrome","0,078125"
"HPAudioAnalytics","0,0625"
"conhost","0,046875"
"msedgewebview2","0,046875"
"armsvc","0,046875"
"HidMonitorSvc","0,03125"
"svchost","0,03125"
"AppVShNotify","0,03125"
"svchost","0,03125"
"svchost","0,03125"
"svchost","0,03125"
"svchost","0,015625"
"dasHost","0,015625"
"IntelCpHDCPSvc","0,015625"
"Idle",
